nohup: ignoring input
device: cuda:0
Loading weights:   0%|          | 0/338 [00:00<?, ?it/s]Loading weights:   0%|          | 1/338 [00:00<03:02,  1.84it/s]Loading weights:  36%|███▋      | 123/338 [00:00<00:00, 238.65it/s]Loading weights:  52%|█████▏    | 177/338 [00:00<00:00, 284.96it/s]Loading weights:  67%|██████▋   | 225/338 [00:00<00:00, 293.25it/s]Loading weights:  79%|███████▉  | 267/338 [00:01<00:00, 302.59it/s]Loading weights:  91%|█████████ | 306/338 [00:01<00:00, 293.70it/s]Loading weights: 100%|██████████| 338/338 [00:01<00:00, 260.62it/s]
trainable params: 18,464,768 || all params: 1,562,179,072 || trainable%: 1.1820

=== Epoch 1/3 ===
step 10/9201 (0.1%) | loss 2.9208 | lr 4.35e-06 | ETA 523.2min
step 20/9201 (0.2%) | loss 2.5870 | lr 8.70e-06 | ETA 506.3min
step 30/9201 (0.3%) | loss 2.4330 | lr 1.30e-05 | ETA 507.3min
step 40/9201 (0.4%) | loss 2.4523 | lr 1.74e-05 | ETA 509.0min
step 50/9201 (0.5%) | loss 2.2030 | lr 2.17e-05 | ETA 503.8min
step 60/9201 (0.7%) | loss 2.3804 | lr 2.61e-05 | ETA 500.8min
step 70/9201 (0.8%) | loss 2.1149 | lr 3.04e-05 | ETA 504.4min
step 80/9201 (0.9%) | loss 2.2839 | lr 3.48e-05 | ETA 504.9min
step 90/9201 (1.0%) | loss 2.2129 | lr 3.91e-05 | ETA 505.5min
step 100/9201 (1.1%) | loss 2.2689 | lr 4.35e-05 | ETA 511.4min
step 110/9201 (1.2%) | loss 2.3106 | lr 4.78e-05 | ETA 512.8min
step 120/9201 (1.3%) | loss 2.1981 | lr 5.22e-05 | ETA 510.8min
step 130/9201 (1.4%) | loss 2.3370 | lr 5.65e-05 | ETA 511.9min
step 140/9201 (1.5%) | loss 2.0341 | lr 6.09e-05 | ETA 511.0min
step 150/9201 (1.6%) | loss 2.1788 | lr 6.52e-05 | ETA 510.6min
step 160/9201 (1.7%) | loss 2.1922 | lr 6.96e-05 | ETA 510.0min
step 170/9201 (1.8%) | loss 2.1594 | lr 7.39e-05 | ETA 510.1min
step 180/9201 (2.0%) | loss 2.0844 | lr 7.83e-05 | ETA 505.8min
step 190/9201 (2.1%) | loss 2.0748 | lr 8.26e-05 | ETA 506.5min
step 200/9201 (2.2%) | loss 2.2042 | lr 8.70e-05 | ETA 505.9min
step 210/9201 (2.3%) | loss 2.0687 | lr 9.13e-05 | ETA 506.9min
step 220/9201 (2.4%) | loss 2.2459 | lr 9.57e-05 | ETA 506.5min
step 230/9201 (2.5%) | loss 2.0732 | lr 1.00e-04 | ETA 501.9min
step 240/9201 (2.6%) | loss 2.2019 | lr 1.04e-04 | ETA 499.1min
step 250/9201 (2.7%) | loss 2.0819 | lr 1.09e-04 | ETA 499.8min
step 260/9201 (2.8%) | loss 2.1168 | lr 1.13e-04 | ETA 499.8min
step 270/9201 (2.9%) | loss 2.2473 | lr 1.17e-04 | ETA 499.6min
step 280/9201 (3.0%) | loss 2.2293 | lr 1.22e-04 | ETA 498.2min
step 290/9201 (3.2%) | loss 1.9434 | lr 1.26e-04 | ETA 490.7min
step 300/9201 (3.3%) | loss 2.1459 | lr 1.30e-04 | ETA 493.9min
step 310/9201 (3.4%) | loss 1.9862 | lr 1.35e-04 | ETA 497.6min
step 320/9201 (3.5%) | loss 2.1848 | lr 1.39e-04 | ETA 495.2min
step 330/9201 (3.6%) | loss 2.2316 | lr 1.43e-04 | ETA 492.1min
step 340/9201 (3.7%) | loss 2.1393 | lr 1.48e-04 | ETA 490.5min
