nohup: ignoring input
device: cuda:0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]Loading weights:   0%|          | 1/434 [00:00<05:48,  1.24it/s]Loading weights:  17%|█▋        | 75/434 [00:00<00:03, 106.27it/s]Loading weights:  25%|██▍       | 107/434 [00:01<00:02, 129.14it/s]Loading weights:  31%|███       | 134/434 [00:01<00:02, 138.10it/s]Loading weights:  36%|███▌      | 157/434 [00:01<00:01, 138.89it/s]Loading weights:  41%|████      | 177/434 [00:01<00:01, 134.90it/s]Loading weights:  45%|████▍     | 195/434 [00:01<00:01, 128.66it/s]Loading weights:  50%|█████     | 219/434 [00:01<00:01, 139.04it/s]Loading weights:  56%|█████▌    | 243/434 [00:02<00:01, 145.22it/s]Loading weights:  60%|█████▉    | 259/434 [00:02<00:01, 143.58it/s]Loading weights:  64%|██████▍   | 279/434 [00:02<00:01, 142.58it/s]Loading weights:  70%|██████▉   | 303/434 [00:02<00:00, 145.97it/s]Loading weights:  75%|███████▌  | 327/434 [00:02<00:00, 143.31it/s]Loading weights:  81%|████████  | 351/434 [00:02<00:00, 142.97it/s]Loading weights:  86%|████████▋ | 375/434 [00:02<00:00, 150.48it/s]Loading weights:  92%|█████████▏| 399/434 [00:03<00:00, 142.19it/s]Loading weights:  97%|█████████▋| 423/434 [00:03<00:00, 149.72it/s]Loading weights: 100%|██████████| 434/434 [00:03<00:00, 132.09it/s]
trainable params: 14,966,784 || all params: 3,100,905,472 || trainable%: 0.4827

=== Epoch 1/3 ===
step 10/11358 (0.1%) | loss 3.5289 | lr 3.53e-06 | ETA 876.0min
step 20/11358 (0.2%) | loss 3.1491 | lr 7.05e-06 | ETA 854.1min
step 30/11358 (0.3%) | loss 2.8141 | lr 1.06e-05 | ETA 855.4min
step 40/11358 (0.4%) | loss 2.3172 | lr 1.41e-05 | ETA 854.1min
step 50/11358 (0.4%) | loss 2.1425 | lr 1.76e-05 | ETA 853.9min
step 60/11358 (0.5%) | loss 2.1312 | lr 2.12e-05 | ETA 856.4min
step 70/11358 (0.6%) | loss 2.0925 | lr 2.47e-05 | ETA 855.4min
step 80/11358 (0.7%) | loss 1.9926 | lr 2.82e-05 | ETA 858.3min
step 90/11358 (0.8%) | loss 2.1338 | lr 3.17e-05 | ETA 854.4min
step 100/11358 (0.9%) | loss 1.9518 | lr 3.53e-05 | ETA 853.9min
step 110/11358 (1.0%) | loss 2.0693 | lr 3.88e-05 | ETA 853.1min
step 120/11358 (1.1%) | loss 2.1454 | lr 4.23e-05 | ETA 852.7min
step 130/11358 (1.1%) | loss 2.0260 | lr 4.59e-05 | ETA 851.7min
step 140/11358 (1.2%) | loss 2.0022 | lr 4.94e-05 | ETA 855.2min
step 150/11358 (1.3%) | loss 2.0198 | lr 5.29e-05 | ETA 850.9min
step 160/11358 (1.4%) | loss 2.1465 | lr 5.64e-05 | ETA 850.2min
step 170/11358 (1.5%) | loss 2.1138 | lr 6.00e-05 | ETA 850.9min
step 180/11358 (1.6%) | loss 2.0919 | lr 6.35e-05 | ETA 849.6min
step 190/11358 (1.7%) | loss 1.9784 | lr 6.70e-05 | ETA 851.0min
step 200/11358 (1.8%) | loss 2.2547 | lr 7.05e-05 | ETA 846.0min
