nohup: ignoring input
device: cuda:0
Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]Loading weights:   0%|          | 1/434 [00:30<3:36:38, 30.02s/it]Loading weights:  28%|██▊       | 123/434 [00:30<00:54,  5.72it/s]Loading weights:  35%|███▌      | 152/434 [00:35<00:48,  5.82it/s]Loading weights:  38%|███▊      | 165/434 [00:37<00:47,  5.72it/s]Loading weights:  40%|███▉      | 172/434 [00:38<00:45,  5.76it/s]Loading weights:  41%|████      | 177/434 [00:39<00:41,  6.19it/s]Loading weights:  42%|████▏     | 183/434 [00:40<00:46,  5.44it/s]Loading weights:  43%|████▎     | 186/434 [00:41<00:46,  5.39it/s]Loading weights:  45%|████▍     | 195/434 [00:42<00:38,  6.26it/s]Loading weights:  45%|████▌     | 197/434 [00:43<00:44,  5.33it/s]Loading weights:  48%|████▊     | 207/434 [00:44<00:35,  6.37it/s]Loading weights:  48%|████▊     | 209/434 [00:45<00:41,  5.45it/s]Loading weights:  50%|█████     | 219/434 [00:47<00:38,  5.55it/s]Loading weights:  51%|█████     | 221/434 [00:47<00:36,  5.90it/s]Loading weights:  53%|█████▎    | 231/434 [00:48<00:33,  6.11it/s]Loading weights:  53%|█████▎    | 232/434 [00:49<00:40,  4.94it/s]Loading weights:  56%|█████▌    | 243/434 [00:50<00:31,  6.12it/s]Loading weights:  56%|█████▋    | 245/434 [00:51<00:36,  5.17it/s]Loading weights:  59%|█████▉    | 255/434 [00:53<00:31,  5.68it/s]Loading weights:  62%|██████▏   | 267/434 [00:55<00:27,  6.18it/s]Loading weights:  62%|██████▏   | 268/434 [00:55<00:32,  5.17it/s]Loading weights:  64%|██████▍   | 279/434 [00:56<00:21,  7.25it/s]Loading weights:  65%|██████▍   | 280/434 [00:57<00:27,  5.69it/s]Loading weights:  65%|██████▍   | 281/434 [00:57<00:28,  5.28it/s]Loading weights:  67%|██████▋   | 291/434 [00:59<00:22,  6.47it/s]Loading weights:  67%|██████▋   | 292/434 [00:59<00:23,  5.96it/s]Loading weights:  68%|██████▊   | 293/434 [00:59<00:28,  4.97it/s]Loading weights:  70%|██████▉   | 303/434 [01:01<00:24,  5.39it/s]Loading weights:  70%|███████   | 305/434 [01:01<00:23,  5.55it/s]Loading weights:  73%|███████▎  | 315/434 [01:03<00:20,  5.72it/s]Loading weights:  73%|███████▎  | 316/434 [01:03<00:21,  5.43it/s]Loading weights:  75%|███████▌  | 327/434 [01:05<00:17,  6.10it/s]Loading weights:  76%|███████▌  | 328/434 [01:05<00:18,  5.75it/s]Loading weights:  76%|███████▌  | 329/434 [01:06<00:19,  5.25it/s]Loading weights:  78%|███████▊  | 339/434 [01:07<00:15,  6.31it/s]Loading weights:  78%|███████▊  | 340/434 [01:07<00:15,  6.12it/s]Loading weights:  79%|███████▊  | 341/434 [01:08<00:17,  5.34it/s]Loading weights:  81%|████████  | 351/434 [01:10<00:15,  5.32it/s]Loading weights:  81%|████████▏ | 353/434 [01:10<00:13,  5.87it/s]Loading weights:  84%|████████▎ | 363/434 [01:11<00:10,  6.75it/s]Loading weights:  84%|████████▍ | 364/434 [01:12<00:14,  4.94it/s]Loading weights:  84%|████████▍ | 365/434 [01:12<00:14,  4.93it/s]Loading weights:  86%|████████▋ | 375/434 [01:13<00:09,  6.30it/s]Loading weights:  87%|████████▋ | 377/434 [01:14<00:12,  4.75it/s]Loading weights:  89%|████████▉ | 387/434 [01:15<00:07,  6.47it/s]Loading weights:  89%|████████▉ | 388/434 [01:16<00:07,  5.99it/s]Loading weights:  90%|████████▉ | 389/434 [01:16<00:07,  6.20it/s]Loading weights:  92%|█████████▏| 399/434 [01:18<00:05,  6.02it/s]Loading weights:  92%|█████████▏| 400/434 [01:18<00:05,  6.11it/s]Loading weights:  95%|█████████▍| 411/434 [01:19<00:03,  6.27it/s]Loading weights:  95%|█████████▍| 412/434 [01:20<00:03,  6.12it/s]Loading weights:  95%|█████████▌| 413/434 [01:20<00:03,  5.86it/s]Loading weights:  97%|█████████▋| 423/434 [01:21<00:01,  7.84it/s]Loading weights:  98%|█████████▊| 424/434 [01:21<00:01,  6.02it/s]Loading weights: 100%|██████████| 434/434 [01:21<00:00,  5.29it/s]
trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607

=== Epoch 1/3 ===
step 10/9201 (0.1%) | loss 3.6302 | lr 4.35e-06 | ETA 1007.3min
step 20/9201 (0.2%) | loss 2.8410 | lr 8.70e-06 | ETA 933.1min
step 30/9201 (0.3%) | loss 2.3824 | lr 1.30e-05 | ETA 919.7min
step 40/9201 (0.4%) | loss 2.2572 | lr 1.74e-05 | ETA 918.3min
step 50/9201 (0.5%) | loss 2.1249 | lr 2.17e-05 | ETA 930.7min
step 60/9201 (0.7%) | loss 2.1746 | lr 2.61e-05 | ETA 930.1min
step 70/9201 (0.8%) | loss 1.9441 | lr 3.04e-05 | ETA 909.6min
step 80/9201 (0.9%) | loss 2.0825 | lr 3.48e-05 | ETA 928.0min
step 90/9201 (1.0%) | loss 1.9760 | lr 3.91e-05 | ETA 923.9min
step 100/9201 (1.1%) | loss 2.2380 | lr 4.35e-05 | ETA 932.2min
step 110/9201 (1.2%) | loss 2.2701 | lr 4.78e-05 | ETA 923.9min
step 120/9201 (1.3%) | loss 2.1909 | lr 5.22e-05 | ETA 925.0min
step 130/9201 (1.4%) | loss 2.1411 | lr 5.65e-05 | ETA 926.0min
step 140/9201 (1.5%) | loss 1.9496 | lr 6.09e-05 | ETA 925.6min
step 150/9201 (1.6%) | loss 2.1214 | lr 6.52e-05 | ETA 921.8min
step 160/9201 (1.7%) | loss 2.1182 | lr 6.96e-05 | ETA 924.7min
step 170/9201 (1.8%) | loss 2.0968 | lr 7.39e-05 | ETA 926.4min
step 180/9201 (2.0%) | loss 1.9863 | lr 7.83e-05 | ETA 929.2min
step 190/9201 (2.1%) | loss 2.0353 | lr 8.26e-05 | ETA 917.1min
step 200/9201 (2.2%) | loss 1.9021 | lr 8.70e-05 | ETA 917.5min
step 210/9201 (2.3%) | loss 1.8906 | lr 9.13e-05 | ETA 925.5min
step 220/9201 (2.4%) | loss 2.0161 | lr 9.57e-05 | ETA 900.5min
step 230/9201 (2.5%) | loss 1.9868 | lr 1.00e-04 | ETA 911.2min
step 240/9201 (2.6%) | loss 1.9674 | lr 1.04e-04 | ETA 899.5min
step 250/9201 (2.7%) | loss 1.9620 | lr 1.09e-04 | ETA 897.3min
step 260/9201 (2.8%) | loss 2.0761 | lr 1.13e-04 | ETA 903.0min
step 270/9201 (2.9%) | loss 1.9999 | lr 1.17e-04 | ETA 911.5min
step 280/9201 (3.0%) | loss 1.9641 | lr 1.22e-04 | ETA 901.4min
step 290/9201 (3.2%) | loss 2.0087 | lr 1.26e-04 | ETA 910.3min
step 300/9201 (3.3%) | loss 2.1266 | lr 1.30e-04 | ETA 910.9min
step 310/9201 (3.4%) | loss 2.0256 | lr 1.35e-04 | ETA 920.9min
step 320/9201 (3.5%) | loss 2.0381 | lr 1.39e-04 | ETA 913.9min
step 330/9201 (3.6%) | loss 2.0668 | lr 1.43e-04 | ETA 910.5min
step 340/9201 (3.7%) | loss 1.9718 | lr 1.48e-04 | ETA 896.7min
step 350/9201 (3.8%) | loss 2.0697 | lr 1.52e-04 | ETA 914.0min
step 360/9201 (3.9%) | loss 2.0938 | lr 1.57e-04 | ETA 902.9min
step 370/9201 (4.0%) | loss 2.0198 | lr 1.61e-04 | ETA 910.9min
step 380/9201 (4.1%) | loss 2.2018 | lr 1.65e-04 | ETA 897.5min
step 390/9201 (4.2%) | loss 2.0863 | lr 1.70e-04 | ETA 908.1min
step 400/9201 (4.3%) | loss 2.1021 | lr 1.74e-04 | ETA 899.3min
step 410/9201 (4.5%) | loss 2.2789 | lr 1.78e-04 | ETA 888.1min
step 420/9201 (4.6%) | loss 2.0466 | lr 1.83e-04 | ETA 888.4min
step 430/9201 (4.7%) | loss 1.9377 | lr 1.87e-04 | ETA 897.2min
step 440/9201 (4.8%) | loss 1.9771 | lr 1.91e-04 | ETA 894.7min
step 450/9201 (4.9%) | loss 2.0119 | lr 1.96e-04 | ETA 902.6min
step 460/9201 (5.0%) | loss 2.0060 | lr 2.00e-04 | ETA 886.9min
step 470/9201 (5.1%) | loss 2.1573 | lr 2.00e-04 | ETA 899.5min
step 480/9201 (5.2%) | loss 2.0674 | lr 2.00e-04 | ETA 894.7min
step 490/9201 (5.3%) | loss 1.8643 | lr 2.00e-04 | ETA 895.2min
step 500/9201 (5.4%) | loss 1.9625 | lr 2.00e-04 | ETA 891.2min
eval loss: 2.0214
best model saved (loss=2.0214)
step 510/9201 (5.5%) | loss 2.1608 | lr 2.00e-04 | ETA 879.2min
