nohup: ignoring input
device: cuda:0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:53<5:00:48, 53.40s/it]Loading weights:   1%|          | 2/339 [00:59<2:24:45, 25.77s/it]Loading weights:  15%|█▌        | 52/339 [01:00<02:57,  1.62it/s] Loading weights:  16%|█▌        | 55/339 [01:02<02:57,  1.60it/s]Loading weights:  19%|█▉        | 64/339 [01:09<02:58,  1.54it/s]Loading weights:  19%|█▉        | 66/339 [01:10<02:50,  1.60it/s]Loading weights:  22%|██▏       | 76/339 [01:13<02:16,  1.93it/s]Loading weights:  23%|██▎       | 77/339 [01:16<02:52,  1.52it/s]Loading weights:  23%|██▎       | 78/339 [01:17<02:46,  1.56it/s]Loading weights:  26%|██▌       | 88/339 [01:20<02:03,  2.03it/s]Loading weights:  27%|██▋       | 90/339 [01:23<02:36,  1.59it/s]Loading weights:  29%|██▉       | 100/339 [01:28<02:12,  1.80it/s]Loading weights:  33%|███▎      | 112/339 [01:34<02:04,  1.82it/s]Loading weights:  33%|███▎      | 113/339 [01:35<02:11,  1.72it/s]Loading weights:  34%|███▎      | 114/339 [01:36<02:05,  1.80it/s]Loading weights:  37%|███▋      | 124/339 [01:38<01:25,  2.52it/s]Loading weights:  37%|███▋      | 125/339 [01:42<02:09,  1.65it/s]Loading weights:  37%|███▋      | 126/339 [01:43<02:18,  1.54it/s]Loading weights:  40%|████      | 136/339 [01:46<01:30,  2.24it/s]Loading weights:  40%|████      | 137/339 [01:46<01:31,  2.21it/s]Loading weights:  41%|████      | 138/339 [01:49<02:20,  1.43it/s]Loading weights:  44%|████▎     | 148/339 [01:53<01:40,  1.91it/s]Loading weights:  44%|████▍     | 149/339 [01:53<01:36,  1.97it/s]Loading weights:  47%|████▋     | 160/339 [02:00<01:37,  1.84it/s]Loading weights:  47%|████▋     | 161/339 [02:01<01:44,  1.71it/s]Loading weights:  51%|█████     | 172/339 [02:04<01:12,  2.31it/s]Loading weights:  51%|█████     | 173/339 [02:07<01:33,  1.78it/s]Loading weights:  51%|█████▏    | 174/339 [02:07<01:32,  1.79it/s]Loading weights:  54%|█████▍    | 184/339 [02:12<01:21,  1.91it/s]Loading weights:  55%|█████▍    | 185/339 [02:12<01:17,  2.00it/s]Loading weights:  55%|█████▍    | 186/339 [02:14<01:31,  1.68it/s]Loading weights:  58%|█████▊    | 196/339 [02:43<04:34,  1.92s/it]Loading weights:  58%|█████▊    | 197/339 [02:55<06:24,  2.70s/it]Loading weights:  58%|█████▊    | 198/339 [02:58<06:26,  2.74s/it]Loading weights:  61%|██████▏   | 208/339 [03:39<07:39,  3.51s/it]Loading weights:  62%|██████▏   | 209/339 [03:43<07:41,  3.55s/it]Loading weights:  62%|██████▏   | 210/339 [03:55<09:24,  4.38s/it]Loading weights:  65%|██████▍   | 220/339 [04:28<07:27,  3.76s/it]Loading weights:  65%|██████▌   | 221/339 [04:39<08:26,  4.29s/it]Loading weights:  65%|██████▌   | 222/339 [04:43<08:14,  4.23s/it]Loading weights:  68%|██████▊   | 232/339 [05:24<07:30,  4.21s/it]Loading weights:  69%|██████▊   | 233/339 [05:29<07:32,  4.27s/it]Loading weights:  69%|██████▉   | 234/339 [05:40<08:38,  4.94s/it]Loading weights:  72%|███████▏  | 244/339 [06:13<06:14,  3.94s/it]Loading weights:  72%|███████▏  | 245/339 [06:24<07:01,  4.48s/it]Loading weights:  73%|███████▎  | 246/339 [06:30<07:09,  4.62s/it]Loading weights:  76%|███████▌  | 256/339 [07:11<05:57,  4.31s/it]Loading weights:  76%|███████▌  | 257/339 [07:16<06:00,  4.39s/it]Loading weights:  76%|███████▌  | 258/339 [07:27<06:52,  5.10s/it]Loading weights:  79%|███████▉  | 268/339 [07:50<04:03,  3.43s/it]Loading weights:  79%|███████▉  | 269/339 [08:16<06:04,  5.20s/it]Loading weights:  80%|███████▉  | 270/339 [08:19<05:41,  4.95s/it]Loading weights:  83%|████████▎ | 280/339 [08:52<03:55,  3.99s/it]Loading weights:  83%|████████▎ | 281/339 [08:54<03:43,  3.85s/it]Loading weights:  83%|████████▎ | 282/339 [09:17<05:24,  5.70s/it]Loading weights:  86%|████████▌ | 292/339 [09:46<03:12,  4.09s/it]Loading weights:  86%|████████▋ | 293/339 [09:53<03:15,  4.26s/it]Loading weights:  87%|████████▋ | 294/339 [09:54<02:58,  3.96s/it]Loading weights:  90%|████████▉ | 304/339 [10:49<02:51,  4.90s/it]Loading weights:  90%|████████▉ | 305/339 [10:50<02:35,  4.58s/it]Loading weights:  93%|█████████▎| 316/339 [11:19<01:21,  3.53s/it]Loading weights:  94%|█████████▎| 317/339 [11:48<01:54,  5.21s/it]Loading weights:  94%|█████████▍| 318/339 [11:51<01:44,  4.97s/it]Loading weights:  97%|█████████▋| 328/339 [12:18<00:41,  3.75s/it]Loading weights:  97%|█████████▋| 329/339 [12:20<00:36,  3.61s/it]Loading weights:  97%|█████████▋| 330/339 [12:26<00:34,  3.83s/it]Loading weights: 100%|██████████| 339/339 [12:26<00:00,  2.20s/it]
trainable params: 20,185,088 || all params: 7,635,801,600 || trainable%: 0.2643

=== Epoch 1/3 ===
step 10/11358 (0.1%) | loss 4.0301 | lr 3.53e-06 | ETA 1009.5min
step 20/11358 (0.2%) | loss 3.7074 | lr 7.05e-06 | ETA 686.5min
step 30/11358 (0.3%) | loss 3.5321 | lr 1.06e-05 | ETA 686.6min
step 40/11358 (0.4%) | loss 2.6715 | lr 1.41e-05 | ETA 686.1min
step 50/11358 (0.4%) | loss 2.2848 | lr 1.76e-05 | ETA 685.9min
step 60/11358 (0.5%) | loss 2.0558 | lr 2.12e-05 | ETA 684.2min
step 70/11358 (0.6%) | loss 1.9030 | lr 2.47e-05 | ETA 683.4min
step 80/11358 (0.7%) | loss 2.0566 | lr 2.82e-05 | ETA 685.4min
step 90/11358 (0.8%) | loss 2.1135 | lr 3.17e-05 | ETA 684.1min
step 100/11358 (0.9%) | loss 1.8949 | lr 3.53e-05 | ETA 684.0min
step 110/11358 (1.0%) | loss 1.9535 | lr 3.88e-05 | ETA 682.8min
step 120/11358 (1.1%) | loss 1.9700 | lr 4.23e-05 | ETA 685.9min
step 130/11358 (1.1%) | loss 1.8638 | lr 4.59e-05 | ETA 683.5min
step 140/11358 (1.2%) | loss 2.0573 | lr 4.94e-05 | ETA 682.6min
step 150/11358 (1.3%) | loss 1.9214 | lr 5.29e-05 | ETA 693.4min
step 160/11358 (1.4%) | loss 1.7953 | lr 5.64e-05 | ETA 683.1min
step 170/11358 (1.5%) | loss 2.0542 | lr 6.00e-05 | ETA 676.9min
step 180/11358 (1.6%) | loss 1.8770 | lr 6.35e-05 | ETA 679.8min
step 190/11358 (1.7%) | loss 1.8369 | lr 6.70e-05 | ETA 676.9min
step 200/11358 (1.8%) | loss 1.7830 | lr 7.05e-05 | ETA 677.1min
eval loss: 1.8675
best model saved (loss=1.8675)
step 210/11358 (1.8%) | loss 2.0122 | lr 7.41e-05 | ETA 675.3min
step 220/11358 (1.9%) | loss 1.8702 | lr 7.76e-05 | ETA 674.4min
step 230/11358 (2.0%) | loss 1.7997 | lr 8.11e-05 | ETA 675.7min
step 240/11358 (2.1%) | loss 1.8432 | lr 8.47e-05 | ETA 671.0min
step 250/11358 (2.2%) | loss 1.9812 | lr 8.82e-05 | ETA 675.0min
step 260/11358 (2.3%) | loss 1.7413 | lr 9.17e-05 | ETA 673.1min
step 270/11358 (2.4%) | loss 2.0960 | lr 9.52e-05 | ETA 675.1min
step 280/11358 (2.5%) | loss 1.8815 | lr 9.88e-05 | ETA 669.8min
step 290/11358 (2.6%) | loss 2.0389 | lr 1.02e-04 | ETA 671.3min
step 300/11358 (2.6%) | loss 1.8561 | lr 1.06e-04 | ETA 669.6min
step 310/11358 (2.7%) | loss 1.9607 | lr 1.09e-04 | ETA 669.8min
step 320/11358 (2.8%) | loss 1.9857 | lr 1.13e-04 | ETA 667.8min
step 330/11358 (2.9%) | loss 1.9611 | lr 1.16e-04 | ETA 666.4min
step 340/11358 (3.0%) | loss 1.8058 | lr 1.20e-04 | ETA 665.8min
step 350/11358 (3.1%) | loss 1.7921 | lr 1.23e-04 | ETA 665.9min
step 360/11358 (3.2%) | loss 1.9601 | lr 1.27e-04 | ETA 666.5min
step 370/11358 (3.3%) | loss 1.8253 | lr 1.31e-04 | ETA 665.3min
step 380/11358 (3.3%) | loss 1.9136 | lr 1.34e-04 | ETA 664.8min
step 390/11358 (3.4%) | loss 1.9108 | lr 1.38e-04 | ETA 663.1min
step 400/11358 (3.5%) | loss 1.8599 | lr 1.41e-04 | ETA 662.7min
eval loss: 1.8730
step 410/11358 (3.6%) | loss 1.7482 | lr 1.45e-04 | ETA 664.3min
step 420/11358 (3.7%) | loss 1.8072 | lr 1.48e-04 | ETA 664.3min
step 430/11358 (3.8%) | loss 1.8299 | lr 1.52e-04 | ETA 659.1min
step 440/11358 (3.9%) | loss 1.9374 | lr 1.55e-04 | ETA 659.2min
step 450/11358 (4.0%) | loss 1.9086 | lr 1.59e-04 | ETA 656.1min
step 460/11358 (4.1%) | loss 2.0490 | lr 1.62e-04 | ETA 656.6min
step 470/11358 (4.1%) | loss 1.9288 | lr 1.66e-04 | ETA 664.7min
step 480/11358 (4.2%) | loss 1.8355 | lr 1.69e-04 | ETA 665.1min
step 490/11358 (4.3%) | loss 1.8269 | lr 1.73e-04 | ETA 665.6min
step 500/11358 (4.4%) | loss 1.8532 | lr 1.76e-04 | ETA 661.8min
step 510/11358 (4.5%) | loss 1.8654 | lr 1.80e-04 | ETA 664.6min
step 520/11358 (4.6%) | loss 1.9010 | lr 1.83e-04 | ETA 672.5min
step 530/11358 (4.7%) | loss 1.9184 | lr 1.87e-04 | ETA 669.2min
step 540/11358 (4.8%) | loss 2.0697 | lr 1.90e-04 | ETA 662.0min
step 550/11358 (4.8%) | loss 1.7119 | lr 1.94e-04 | ETA 662.0min
step 560/11358 (4.9%) | loss 1.9180 | lr 1.98e-04 | ETA 652.9min
step 570/11358 (5.0%) | loss 1.9404 | lr 2.00e-04 | ETA 657.7min
step 580/11358 (5.1%) | loss 1.9475 | lr 2.00e-04 | ETA 667.1min
step 590/11358 (5.2%) | loss 1.8433 | lr 2.00e-04 | ETA 671.6min
step 600/11358 (5.3%) | loss 1.8849 | lr 2.00e-04 | ETA 667.6min
eval loss: 1.8894
step 610/11358 (5.4%) | loss 2.0958 | lr 2.00e-04 | ETA 664.6min
step 620/11358 (5.5%) | loss 1.8367 | lr 2.00e-04 | ETA 664.1min
