nohup: ignoring input
device: cuda:0
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:53<4:58:54, 53.06s/it]Loading weights:   1%|          | 2/339 [00:57<2:15:58, 24.21s/it]Loading weights:  15%|█▌        | 52/339 [00:59<02:54,  1.64it/s] Loading weights:  16%|█▌        | 54/339 [01:00<02:55,  1.63it/s]Loading weights:  19%|█▉        | 64/339 [01:07<02:53,  1.59it/s]Loading weights:  19%|█▉        | 65/339 [01:08<02:51,  1.59it/s]Loading weights:  22%|██▏       | 76/339 [01:10<02:08,  2.04it/s]Loading weights:  23%|██▎       | 77/339 [01:15<02:55,  1.49it/s]Loading weights:  26%|██▌       | 88/339 [01:18<02:06,  1.99it/s]Loading weights:  27%|██▋       | 90/339 [01:21<02:36,  1.59it/s]Loading weights:  29%|██▉       | 100/339 [01:26<02:10,  1.83it/s]Loading weights:  30%|██▉       | 101/339 [01:26<02:09,  1.83it/s]Loading weights:  33%|███▎      | 112/339 [01:33<02:07,  1.77it/s]Loading weights:  34%|███▎      | 114/339 [01:34<02:14,  1.67it/s]Loading weights:  37%|███▋      | 124/339 [01:37<01:32,  2.32it/s]Loading weights:  37%|███▋      | 125/339 [01:40<02:04,  1.72it/s]Loading weights:  40%|████      | 136/339 [01:44<01:39,  2.04it/s]Loading weights:  40%|████      | 137/339 [01:44<01:35,  2.11it/s]Loading weights:  41%|████      | 138/339 [01:46<01:59,  1.68it/s]Loading weights:  44%|████▎     | 148/339 [01:51<01:40,  1.91it/s]Loading weights:  44%|████▍     | 149/339 [01:51<01:36,  1.96it/s]Loading weights:  47%|████▋     | 160/339 [01:57<01:33,  1.91it/s]Loading weights:  47%|████▋     | 161/339 [01:58<01:38,  1.81it/s]Loading weights:  48%|████▊     | 162/339 [01:58<01:32,  1.92it/s]Loading weights:  51%|█████     | 172/339 [02:02<01:12,  2.31it/s]Loading weights:  51%|█████     | 173/339 [02:04<01:31,  1.82it/s]Loading weights:  51%|█████▏    | 174/339 [02:05<01:40,  1.65it/s]Loading weights:  54%|█████▍    | 184/339 [02:09<01:16,  2.03it/s]Loading weights:  55%|█████▍    | 186/339 [02:10<01:19,  1.92it/s]Loading weights:  58%|█████▊    | 196/339 [02:16<01:15,  1.90it/s]Loading weights:  58%|█████▊    | 197/339 [02:16<01:14,  1.91it/s]Loading weights:  61%|██████▏   | 208/339 [02:21<01:00,  2.16it/s]Loading weights:  62%|██████▏   | 209/339 [02:23<01:14,  1.74it/s]Loading weights:  65%|██████▍   | 220/339 [02:27<00:57,  2.06it/s]Loading weights:  65%|██████▌   | 221/339 [02:28<00:55,  2.12it/s]Loading weights:  65%|██████▌   | 222/339 [02:30<01:14,  1.57it/s]Loading weights:  68%|██████▊   | 232/339 [02:34<00:55,  1.94it/s]Loading weights:  69%|██████▊   | 233/339 [02:35<00:54,  1.96it/s]Loading weights:  69%|██████▉   | 234/339 [02:35<00:50,  2.10it/s]Loading weights:  72%|███████▏  | 244/339 [02:40<00:48,  1.95it/s]Loading weights:  72%|███████▏  | 245/339 [02:41<00:48,  1.95it/s]Loading weights:  73%|███████▎  | 246/339 [02:42<00:56,  1.64it/s]Loading weights:  76%|███████▌  | 256/339 [02:47<00:44,  1.85it/s]Loading weights:  76%|███████▌  | 257/339 [02:48<00:44,  1.82it/s]Loading weights:  76%|███████▌  | 258/339 [02:49<00:47,  1.70it/s]Loading weights:  79%|███████▉  | 268/339 [02:52<00:29,  2.41it/s]Loading weights:  79%|███████▉  | 269/339 [02:55<00:43,  1.63it/s]Loading weights:  80%|███████▉  | 270/339 [02:56<00:45,  1.51it/s]Loading weights:  83%|████████▎ | 280/339 [02:59<00:26,  2.20it/s]Loading weights:  83%|████████▎ | 281/339 [02:59<00:25,  2.25it/s]Loading weights:  83%|████████▎ | 282/339 [03:01<00:31,  1.80it/s]Loading weights:  86%|████████▌ | 292/339 [03:06<00:25,  1.87it/s]Loading weights:  90%|████████▉ | 304/339 [03:11<00:17,  2.00it/s]Loading weights:  90%|████████▉ | 305/339 [03:13<00:18,  1.86it/s]Loading weights:  93%|█████████▎| 316/339 [03:16<00:09,  2.32it/s]Loading weights:  94%|█████████▎| 317/339 [03:18<00:11,  1.85it/s]Loading weights:  94%|█████████▍| 318/339 [03:20<00:12,  1.69it/s]Loading weights:  97%|█████████▋| 328/339 [03:23<00:05,  2.10it/s]Loading weights:  97%|█████████▋| 329/339 [03:24<00:04,  2.07it/s]Loading weights:  97%|█████████▋| 330/339 [03:25<00:04,  1.84it/s]Loading weights: 100%|██████████| 339/339 [03:25<00:00,  1.65it/s]
trainable params: 40,370,176 || all params: 7,655,986,688 || trainable%: 0.5273

=== Epoch 1/3 ===
step 10/9201 (0.1%) | loss 3.8622 | lr 4.35e-06 | ETA 784.3min
step 20/9201 (0.2%) | loss 3.3154 | lr 8.70e-06 | ETA 522.8min
step 30/9201 (0.3%) | loss 3.0268 | lr 1.30e-05 | ETA 522.7min
step 40/9201 (0.4%) | loss 2.1676 | lr 1.74e-05 | ETA 523.7min
step 50/9201 (0.5%) | loss 2.0896 | lr 2.17e-05 | ETA 522.2min
step 60/9201 (0.7%) | loss 1.9236 | lr 2.61e-05 | ETA 518.0min
step 70/9201 (0.8%) | loss 1.9578 | lr 3.04e-05 | ETA 520.4min
step 80/9201 (0.9%) | loss 1.8577 | lr 3.48e-05 | ETA 515.6min
step 90/9201 (1.0%) | loss 2.0483 | lr 3.91e-05 | ETA 520.1min
step 100/9201 (1.1%) | loss 1.8396 | lr 4.35e-05 | ETA 519.5min
step 110/9201 (1.2%) | loss 1.9409 | lr 4.78e-05 | ETA 526.5min
step 120/9201 (1.3%) | loss 1.9282 | lr 5.22e-05 | ETA 523.4min
step 130/9201 (1.4%) | loss 1.9805 | lr 5.65e-05 | ETA 523.9min
step 140/9201 (1.5%) | loss 2.0380 | lr 6.09e-05 | ETA 519.6min
step 150/9201 (1.6%) | loss 2.0748 | lr 6.52e-05 | ETA 515.2min
step 160/9201 (1.7%) | loss 1.9394 | lr 6.96e-05 | ETA 516.5min
step 170/9201 (1.8%) | loss 1.9410 | lr 7.39e-05 | ETA 516.5min
step 180/9201 (2.0%) | loss 1.9254 | lr 7.83e-05 | ETA 521.8min
step 190/9201 (2.1%) | loss 1.9390 | lr 8.26e-05 | ETA 518.3min
step 200/9201 (2.2%) | loss 1.9507 | lr 8.70e-05 | ETA 512.9min
step 210/9201 (2.3%) | loss 1.8760 | lr 9.13e-05 | ETA 513.5min
step 220/9201 (2.4%) | loss 1.9956 | lr 9.57e-05 | ETA 512.3min
step 230/9201 (2.5%) | loss 1.8709 | lr 1.00e-04 | ETA 517.1min
step 240/9201 (2.6%) | loss 1.9684 | lr 1.04e-04 | ETA 515.4min
step 250/9201 (2.7%) | loss 2.0179 | lr 1.09e-04 | ETA 516.2min
step 260/9201 (2.8%) | loss 1.9922 | lr 1.13e-04 | ETA 511.7min
step 270/9201 (2.9%) | loss 1.8690 | lr 1.17e-04 | ETA 506.7min
step 280/9201 (3.0%) | loss 1.7604 | lr 1.22e-04 | ETA 508.2min
step 290/9201 (3.2%) | loss 1.8573 | lr 1.26e-04 | ETA 504.2min
step 300/9201 (3.3%) | loss 1.9608 | lr 1.30e-04 | ETA 506.9min
step 310/9201 (3.4%) | loss 1.9252 | lr 1.35e-04 | ETA 505.3min
step 320/9201 (3.5%) | loss 1.9952 | lr 1.39e-04 | ETA 507.1min
step 330/9201 (3.6%) | loss 1.9012 | lr 1.43e-04 | ETA 510.9min
step 340/9201 (3.7%) | loss 1.8962 | lr 1.48e-04 | ETA 510.3min
step 350/9201 (3.8%) | loss 1.6974 | lr 1.52e-04 | ETA 505.6min
step 360/9201 (3.9%) | loss 1.8706 | lr 1.57e-04 | ETA 502.8min
step 370/9201 (4.0%) | loss 1.9675 | lr 1.61e-04 | ETA 518.0min
step 380/9201 (4.1%) | loss 1.8114 | lr 1.65e-04 | ETA 505.0min
step 390/9201 (4.2%) | loss 1.8347 | lr 1.70e-04 | ETA 505.6min
step 400/9201 (4.3%) | loss 1.8461 | lr 1.74e-04 | ETA 505.4min
step 410/9201 (4.5%) | loss 1.9579 | lr 1.78e-04 | ETA 504.9min
step 420/9201 (4.6%) | loss 1.7953 | lr 1.83e-04 | ETA 505.9min
step 430/9201 (4.7%) | loss 1.8934 | lr 1.87e-04 | ETA 501.3min
step 440/9201 (4.8%) | loss 1.8929 | lr 1.91e-04 | ETA 499.3min
step 450/9201 (4.9%) | loss 1.8722 | lr 1.96e-04 | ETA 502.5min
step 460/9201 (5.0%) | loss 1.9541 | lr 2.00e-04 | ETA 504.9min
step 470/9201 (5.1%) | loss 1.8870 | lr 2.00e-04 | ETA 505.6min
step 480/9201 (5.2%) | loss 2.0297 | lr 2.00e-04 | ETA 498.1min
step 490/9201 (5.3%) | loss 2.0089 | lr 2.00e-04 | ETA 497.1min
step 500/9201 (5.4%) | loss 1.9532 | lr 2.00e-04 | ETA 496.1min
step 510/9201 (5.5%) | loss 1.8361 | lr 2.00e-04 | ETA 494.9min
step 520/9201 (5.7%) | loss 1.9268 | lr 2.00e-04 | ETA 493.6min
step 530/9201 (5.8%) | loss 1.7882 | lr 2.00e-04 | ETA 497.6min
step 540/9201 (5.9%) | loss 1.9771 | lr 2.00e-04 | ETA 500.0min
step 550/9201 (6.0%) | loss 1.8471 | lr 2.00e-04 | ETA 498.9min
step 560/9201 (6.1%) | loss 2.0767 | lr 2.00e-04 | ETA 498.9min
step 570/9201 (6.2%) | loss 2.0333 | lr 2.00e-04 | ETA 492.3min
