nohup: ignoring input
device: cuda:0
Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]Loading weights:   0%|          | 1/434 [00:00<05:16,  1.37it/s]Loading weights:  17%|█▋        | 75/434 [00:00<00:02, 119.81it/s]Loading weights:  26%|██▋       | 114/434 [00:01<00:02, 122.07it/s]Loading weights:  32%|███▏      | 141/434 [00:01<00:02, 136.17it/s]Loading weights:  38%|███▊      | 165/434 [00:01<00:01, 144.67it/s]Loading weights:  43%|████▎     | 187/434 [00:01<00:01, 140.25it/s]Loading weights:  47%|████▋     | 206/434 [00:01<00:01, 148.97it/s]Loading weights:  52%|█████▏    | 225/434 [00:01<00:01, 145.18it/s]Loading weights:  56%|█████▌    | 242/434 [00:01<00:01, 144.75it/s]Loading weights:  60%|█████▉    | 259/434 [00:02<00:01, 144.94it/s]Loading weights:  64%|██████▍   | 279/434 [00:02<00:01, 145.15it/s]Loading weights:  68%|██████▊   | 295/434 [00:02<00:01, 135.36it/s]Loading weights:  73%|███████▎  | 315/434 [00:02<00:00, 137.47it/s]Loading weights:  76%|███████▌  | 330/434 [00:02<00:00, 137.46it/s]Loading weights:  81%|████████  | 351/434 [00:02<00:00, 141.18it/s]Loading weights:  86%|████████▋ | 375/434 [00:02<00:00, 142.98it/s]Loading weights:  92%|█████████▏| 399/434 [00:03<00:00, 160.29it/s]Loading weights:  96%|█████████▌| 416/434 [00:03<00:00, 149.11it/s]Loading weights: 100%|██████████| 434/434 [00:03<00:00, 134.75it/s]
trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607

=== Epoch 1/3 ===
step 10/11358 (0.1%) | loss 3.8845 | lr 3.53e-06 | ETA 849.7min
step 20/11358 (0.2%) | loss 2.9716 | lr 7.05e-06 | ETA 830.3min
step 30/11358 (0.3%) | loss 2.5401 | lr 1.06e-05 | ETA 835.7min
step 40/11358 (0.4%) | loss 2.0157 | lr 1.41e-05 | ETA 836.9min
step 50/11358 (0.4%) | loss 2.1268 | lr 1.76e-05 | ETA 834.5min
step 60/11358 (0.5%) | loss 2.0606 | lr 2.12e-05 | ETA 825.6min
step 70/11358 (0.6%) | loss 2.1505 | lr 2.47e-05 | ETA 828.0min
step 80/11358 (0.7%) | loss 1.8802 | lr 2.82e-05 | ETA 835.8min
step 90/11358 (0.8%) | loss 2.0582 | lr 3.17e-05 | ETA 831.2min
step 100/11358 (0.9%) | loss 2.2348 | lr 3.53e-05 | ETA 830.9min
step 110/11358 (1.0%) | loss 2.2038 | lr 3.88e-05 | ETA 830.1min
step 120/11358 (1.1%) | loss 2.0983 | lr 4.23e-05 | ETA 829.5min
step 130/11358 (1.1%) | loss 1.9714 | lr 4.59e-05 | ETA 831.9min
step 140/11358 (1.2%) | loss 2.1778 | lr 4.94e-05 | ETA 834.3min
step 150/11358 (1.3%) | loss 1.9843 | lr 5.29e-05 | ETA 830.5min
step 160/11358 (1.4%) | loss 2.2048 | lr 5.64e-05 | ETA 830.6min
step 170/11358 (1.5%) | loss 2.1247 | lr 6.00e-05 | ETA 830.9min
step 180/11358 (1.6%) | loss 2.0705 | lr 6.35e-05 | ETA 825.5min
step 190/11358 (1.7%) | loss 1.9884 | lr 6.70e-05 | ETA 825.3min
step 200/11358 (1.8%) | loss 1.9767 | lr 7.05e-05 | ETA 826.4min
step 210/11358 (1.8%) | loss 2.0364 | lr 7.41e-05 | ETA 822.9min
step 220/11358 (1.9%) | loss 1.9626 | lr 7.76e-05 | ETA 823.4min
step 230/11358 (2.0%) | loss 2.0206 | lr 8.11e-05 | ETA 824.2min
step 240/11358 (2.1%) | loss 2.0430 | lr 8.47e-05 | ETA 827.4min
step 250/11358 (2.2%) | loss 2.2263 | lr 8.82e-05 | ETA 822.1min
step 260/11358 (2.3%) | loss 1.9785 | lr 9.17e-05 | ETA 819.8min
